date,price
9/29/2017,2.96
9/22/2017,3.09
9/15/2017,2.96
9/8/2017,2.91
9/1/2017,2.93
8/25/2017,2.97
8/18/2017,2.95
8/11/2017,2.85
8/4/2017,2.8
7/28/2017,2.96
7/21/2017,3.09
7/14/2017,2.96
7/7/2017,2.95
6/30/2017,3.01
6/23/2017,2.89
6/16/2017,3.03
6/9/2017,2.98
6/2/2017,3.03
5/26/2017,3.18
5/19/2017,3.21
5/12/2017,3.12
5/5/2017,3.14
4/28/2017,3.09
4/21/2017,3.1
4/14/2017,3.05
4/7/2017,3.18
3/31/2017,3.03
3/24/2017,2.99
3/17/2017,2.96
3/10/2017,2.75
3/3/2017,2.52
2/24/2017,2.62
2/17/2017,2.87
2/10/2017,3.04
2/3/2017,3.12
1/27/2017,3.27
1/20/2017,3.29
1/13/2017,3.27
1/6/2017,3.47
12/30/2016,3.69
12/23/2016,3.51
12/16/2016,3.57
12/9/2016,3.69
12/2/2016,3.21
11/25/2016,2.76
11/18/2016,2.44
11/11/2016,2.22
11/4/2016,2.5
10/28/2016,2.72
10/21/2016,3.14
10/14/2016,3.17
10/7/2016,2.91
9/30/2016,3.01
9/23/2016,3.11
9/16/2016,3.02
9/9/2016,2.87
9/2/2016,2.94
8/26/2016,2.82
8/19/2016,2.73
8/12/2016,2.77
8/5/2016,2.88
7/29/2016,2.85
7/22/2016,2.79
7/15/2016,2.81
7/8/2016,2.82
7/1/2016,2.89
6/24/2016,2.75
6/17/2016,2.59
6/10/2016,2.36
6/3/2016,2.15
5/27/2016,1.84
5/20/2016,1.89
5/13/2016,2
5/6/2016,1.96
4/29/2016,1.92
4/22/2016,1.91
4/15/2016,1.9
4/8/2016,1.96
4/1/2016,1.86
3/25/2016,1.79
3/18/2016,1.79
3/11/2016,1.64
3/4/2016,1.57
2/26/2016,1.82
2/19/2016,1.94
2/12/2016,2.16
2/5/2016,2.11
1/29/2016,2.22
1/22/2016,2.2
1/15/2016,2.32
1/8/2016,2.38
1/1/2016,2.27
12/25/2015,1.68
12/18/2015,1.72
12/11/2015,1.96
12/4/2015,2.13
11/27/2015,2.15
11/20/2015,2.09
11/13/2015,2.11
11/6/2015,2.02
10/30/2015,2.12
10/23/2015,2.38
10/16/2015,2.48
10/9/2015,2.38
10/2/2015,2.49
9/25/2015,2.61
9/18/2015,2.7
9/11/2015,2.7
9/4/2015,2.69
8/28/2015,2.69
8/21/2015,2.75
8/14/2015,2.88
8/7/2015,2.8
7/31/2015,2.87
7/24/2015,2.88
7/17/2015,2.89
7/10/2015,2.75
7/3/2015,2.79
6/26/2015,2.8
6/19/2015,2.9
6/12/2015,2.78
6/5/2015,2.65
5/29/2015,2.8
5/22/2015,2.99
5/15/2015,2.88
5/8/2015,2.75
5/1/2015,2.57
4/24/2015,2.6
4/17/2015,2.61
4/10/2015,2.67
4/3/2015,2.64
3/27/2015,2.79
3/20/2015,2.8
3/13/2015,2.76
3/6/2015,3.04
2/27/2015,3.13
2/20/2015,2.9
2/13/2015,2.75
2/6/2015,2.72
1/30/2015,2.91
1/23/2015,2.95
1/16/2015,3.08
1/9/2015,3.03
1/2/2015,3.09
12/26/2014,2.94
12/19/2014,3.69
12/12/2014,3.66
12/5/2014,3.75
11/28/2014,4.16
11/21/2014,4.34
11/14/2014,4.16
11/7/2014,3.83
10/31/2014,3.65
10/24/2014,3.63
10/17/2014,3.82
10/10/2014,3.87
10/3/2014,4.02
9/26/2014,3.88
9/19/2014,3.95
9/12/2014,3.91
9/5/2014,3.93
8/29/2014,4.01
8/22/2014,3.85
8/15/2014,3.9
8/8/2014,3.92
8/1/2014,3.79
7/25/2014,3.84
7/18/2014,4.11
7/11/2014,4.19
7/4/2014,4.41
6/27/2014,4.52
6/20/2014,4.66
6/13/2014,4.61
6/6/2014,4.61
5/30/2014,4.52
5/23/2014,4.52
5/16/2014,4.46
5/9/2014,4.74
5/2/2014,4.76
4/25/2014,4.8
4/18/2014,4.65
4/11/2014,4.63
4/4/2014,4.45
3/28/2014,4.46
3/21/2014,4.43
3/14/2014,4.58
3/7/2014,6.24
2/28/2014,5.1
2/21/2014,6
2/14/2014,6.55
2/7/2014,6.35
1/31/2014,5.29
1/24/2014,5.08
1/17/2014,4.39
1/10/2014,4.31
1/3/2014,4.36
12/27/2013,4.45
12/20/2013,4.25
12/13/2013,4.31
12/6/2013,3.94
11/29/2013,3.87
11/22/2013,3.68
11/15/2013,3.62
11/8/2013,3.47
11/1/2013,3.55
10/25/2013,3.69
10/18/2013,3.79
10/11/2013,3.7
10/4/2013,3.56
9/27/2013,3.55
9/20/2013,3.71
9/13/2013,3.61
9/6/2013,3.64
8/30/2013,3.55
8/23/2013,3.49
8/16/2013,3.35
8/9/2013,3.32
8/2/2013,3.45
7/26/2013,3.67
7/19/2013,3.69
