,0,1,2,3,4,5,6,7,8,9
1,4.19,2.98,2.91,2.53,2.3,1.91,1.82,1.86,1.96,1.91
2,2.98,2.91,2.53,2.3,1.91,1.82,1.86,1.96,1.91,1.84
3,2.91,2.53,2.3,1.91,1.82,1.86,1.96,1.91,1.84,1.88
4,2.53,2.3,1.91,1.82,1.86,1.96,1.91,1.84,1.88,1.98
5,2.3,1.91,1.82,1.86,1.96,1.91,1.84,1.88,1.98,2.04
6,1.91,1.82,1.86,1.96,1.91,1.84,1.88,1.98,2.04,2.14
7,1.82,1.86,1.96,1.91,1.84,1.88,1.98,2.04,2.14,2.15
8,1.86,1.96,1.91,1.84,1.88,1.98,2.04,2.14,2.15,2.29
9,1.96,1.91,1.84,1.88,1.98,2.04,2.14,2.15,2.29,2.22
10,1.91,1.84,1.88,1.98,2.04,2.14,2.15,2.29,2.22,2.22
11,1.84,1.88,1.98,2.04,2.14,2.15,2.29,2.22,2.22,2.28
12,1.88,1.98,2.04,2.14,2.15,2.29,2.22,2.22,2.28,2.17
13,1.98,2.04,2.14,2.15,2.29,2.22,2.22,2.28,2.17,2.16
14,2.04,2.14,2.15,2.29,2.22,2.22,2.28,2.17,2.16,2.22
15,2.14,2.15,2.29,2.22,2.22,2.28,2.17,2.16,2.22,2.27
16,2.15,2.29,2.22,2.22,2.28,2.17,2.16,2.22,2.27,2.15
17,2.29,2.22,2.22,2.28,2.17,2.16,2.22,2.27,2.15,2.15
18,2.22,2.22,2.28,2.17,2.16,2.22,2.27,2.15,2.15,2.24
19,2.22,2.28,2.17,2.16,2.22,2.27,2.15,2.15,2.24,2.2
20,2.28,2.17,2.16,2.22,2.27,2.15,2.15,2.24,2.2,2.22
21,2.17,2.16,2.22,2.27,2.15,2.15,2.24,2.2,2.22,2.37
22,2.16,2.22,2.27,2.15,2.15,2.24,2.2,2.22,2.37,2.53
23,2.22,2.27,2.15,2.15,2.24,2.2,2.22,2.37,2.53,2.54
24,2.27,2.15,2.15,2.24,2.2,2.22,2.37,2.53,2.54,2.58
25,2.15,2.15,2.24,2.2,2.22,2.37,2.53,2.54,2.58,2.77
26,2.15,2.24,2.2,2.22,2.37,2.53,2.54,2.58,2.77,2.76
27,2.24,2.2,2.22,2.37,2.53,2.54,2.58,2.77,2.76,2.85
28,2.2,2.22,2.37,2.53,2.54,2.58,2.77,2.76,2.85,3.08
29,2.22,2.37,2.53,2.54,2.58,2.77,2.76,2.85,3.08,3.0
30,2.37,2.53,2.54,2.58,2.77,2.76,2.85,3.08,3.0,2.83
31,2.53,2.54,2.58,2.77,2.76,2.85,3.08,3.0,2.83,2.89
32,2.54,2.58,2.77,2.76,2.85,3.08,3.0,2.83,2.89,3.21
33,2.58,2.77,2.76,2.85,3.08,3.0,2.83,2.89,3.21,3.42
34,2.77,2.76,2.85,3.08,3.0,2.83,2.89,3.21,3.42,3.16
35,2.76,2.85,3.08,3.0,2.83,2.89,3.21,3.42,3.16,3.25
36,2.85,3.08,3.0,2.83,2.89,3.21,3.42,3.16,3.25,2.89
37,3.08,3.0,2.83,2.89,3.21,3.42,3.16,3.25,2.89,2.55
38,3.0,2.83,2.89,3.21,3.42,3.16,3.25,2.89,2.55,2.51
39,2.83,2.89,3.21,3.42,3.16,3.25,2.89,2.55,2.51,2.34
40,2.89,3.21,3.42,3.16,3.25,2.89,2.55,2.51,2.34,2.34
41,3.21,3.42,3.16,3.25,2.89,2.55,2.51,2.34,2.34,2.21
42,3.42,3.16,3.25,2.89,2.55,2.51,2.34,2.34,2.21,2.26
43,3.16,3.25,2.89,2.55,2.51,2.34,2.34,2.21,2.26,2.11
44,3.25,2.89,2.55,2.51,2.34,2.34,2.21,2.26,2.11,2.05
45,2.89,2.55,2.51,2.34,2.34,2.21,2.26,2.11,2.05,2.11
46,2.55,2.51,2.34,2.34,2.21,2.26,2.11,2.05,2.11,2.08
47,2.51,2.34,2.34,2.21,2.26,2.11,2.05,2.11,2.08,2.28
48,2.34,2.34,2.21,2.26,2.11,2.05,2.11,2.08,2.28,2.21
49,2.34,2.21,2.26,2.11,2.05,2.11,2.08,2.28,2.21,2.2
50,2.21,2.26,2.11,2.05,2.11,2.08,2.28,2.21,2.2,2.22
51,2.26,2.11,2.05,2.11,2.08,2.28,2.21,2.2,2.22,2.18
